序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
771,300365,恒华科技,4.59,2.38,966.0,-2.96,-0.86,2152,-9.47,2.64,551,-2.34,软件开发
226,301213,观想科技,54.2,2.36,969.0,0.35,2.94,613,3.63,1.49,979,13.48,军工电子Ⅱ
30,300398,飞凯材料,61.68,2.31,973.0,8.86,2.66,677,33.8,0.97,1237,43.81,电子化学品Ⅱ
178,300045,华力创通,16.99,2.17,999.0,1.07,-7.83,4972,-6.9,-5.35,4843,-4.6,军工电子Ⅱ
565,300322,硕贝德,25.3,2.12,1005.0,-2.17,-1.24,2351,-17.67,-0.14,1912,-8.5,消费电子
182,300311,ST任子行,4.98,2.11,1007.0,1.01,-5.86,4467,-4.23,-1.73,3037,0.2,软件开发
103,300236,上海新阳,117.66,1.88,1056.0,3.59,1.37,1092,11.21,-0.71,2298,15.33,电子化学品Ⅱ
434,300408,三环集团,161.02,1.88,1054.0,-1.59,-0.81,2127,1.98,0.21,1672,22.33,元件
429,300532,今天国际,6.25,1.81,1071.0,-1.57,-5.36,4297,-6.58,-3.34,4022,-5.02,IT服务Ⅱ
157,301382,蜂助手,42.76,1.81,1069.0,1.52,3.73,448,4.6,4.95,151,17.57,通信服务
671,300168,万达信息,4.49,1.71,1086.0,-2.6,-3.62,3561,-6.85,-0.27,2005,-5.07,IT服务Ⅱ
46,300440,运达科技,21.44,1.57,1110.0,6.61,-0.28,1677,10.06,-1.8,2835,11.2,IT服务Ⅱ
416,300155,安居宝,3.93,1.55,1116.0,-1.5,0.33,1381,-8.18,-2.4,3234,-8.82,计算机设备
499,300256,星星科技,2.6,1.55,1115.0,-1.89,1.91,820,-8.13,-0.79,2164,-6.47,消费电子
520,301106,骏成科技,22.16,1.5,1136.0,-1.99,3.57,447,-5.02,3.59,318,11.86,光学光电子
270,300389,艾比森,12.72,1.49,1138.0,-0.24,-1.11,2068,-4.5,-0.77,2149,-1.78,光学光电子
1195,300331,苏大维格,68.97,1.43,1153.0,-5.34,-3.34,3136,-0.5,0.84,1210,6.8,光学光电子
76,301045,天禄科技,69.31,1.35,1163.0,4.89,0.26,1410,7.69,-1.29,2479,26.83,光学光电子
173,300123,ST亚光,3.53,1.03,1233.0,1.15,-9.73,4969,-13.05,-7.78,4982,-14.11,军工电子Ⅱ
14,301611,珂玛科技,169.0,0.97,1250.0,12.35,-0.56,1806,38.79,1.01,1112,53.5,半导体
1081,301282,金禄电子,28.98,0.96,1251.0,-4.39,-0.93,1971,-3.34,-3.48,3795,13.87,元件
119,301337,亚华电子,27.43,0.91,1263.0,2.73,0.61,1281,-5.22,-0.84,2200,4.81,软件开发
619,300559,佳发教育,10.5,0.89,1268.0,-2.42,-1.01,2020,-6.17,-2.42,3246,0.1,软件开发
785,300025,华星创业,4.22,0.84,1277.0,-2.99,2.22,736,-6.64,0.89,1190,-7.05,通信服务
918,301251,威尔高,53.27,0.83,1280.0,-3.6,-0.02,1569,-1.82,0.05,1627,12.34,元件
755,301608,博实结,50.25,0.82,1283.0,-2.9,-4.06,3464,-7.87,1.04,1098,3.4,计算机设备
553,300884,狄耐克,9.67,0.79,1293.0,-2.13,-4.39,3615,-9.2,-1.48,2611,-5.93,计算机设备
298,300516,久之洋,32.9,0.66,1315.0,-0.63,-6.68,4410,-9.27,-3.89,3969,-8.36,其他电子Ⅱ
322,300044,*ST赛为,4.49,0.63,1320.0,-0.88,-15.22,5245,-17.61,-10.22,5185,-17.16,IT服务Ⅱ
113,300429,强力新材,17.21,0.59,1329.0,2.99,1.68,885,9.62,-2.62,3351,13.75,电子化学品Ⅱ
469,300582,英飞特,12.66,0.57,1335.0,-1.78,-11.0,5088,-11.72,-9.98,5168,-8.26,光学光电子
196,300739,明阳电路,34.02,0.53,1340.0,0.83,-2.71,2840,0.09,0.57,1338,26.85,元件
394,301132,满坤科技,55.76,0.37,1378.0,-1.36,6.45,138,18.71,3.08,415,52.14,元件
151,300136,信维通信,118.68,0.34,1381.0,1.67,-0.45,1766,10.45,-0.43,1933,19.54,消费电子
1398,300936,中英科技,99.97,0.29,1399.0,-16.08,-3.59,3252,-19.44,-3.97,4010,-13.06,元件
698,300448,浩云科技,5.83,0.15,1436.0,-2.67,-4.7,3738,-14.64,-3.76,3915,-14.26,IT服务Ⅱ
300,300053,航宇微,15.21,0.14,1439.0,-0.65,-5.84,4147,-7.37,-6.7,4829,-9.14,半导体
122,300052,中青宝,14.16,0.13,1445.0,2.61,3.97,377,19.19,2.45,566,20.72,IT服务Ⅱ
1356,300130,新国都,20.69,0.12,1448.0,-8.0,-0.13,1620,-0.19,0.04,1633,-3.54,计算机设备
994,300378,鼎捷数智,35.71,0.05,1461.0,-3.93,-1.43,2216,-6.42,-0.06,1702,2.59,软件开发
342,301302,华如科技,26.21,0.04,1465.0,-1.06,-4.07,3471,-12.98,-3.04,3567,-14.9,军工电子Ⅱ
805,300288,朗玛信息,8.88,0.03,1466.0,-3.06,-0.38,1736,-5.33,-1.49,2619,-6.72,IT服务Ⅱ
230,301517,陕西华达,48.84,0.02,1618.0,0.27,-5.21,4250,-9.44,-4.29,4461,-5.97,军工电子Ⅱ
1083,300449,汉邦高科,7.59,0.01,1619.0,-4.41,-7.02,4806,-15.95,-2.87,3757,-3.8,计算机设备
159,300604,长川科技,314.52,-0.05,1708.0,1.46,-0.26,1846,19.09,0.77,1343,35.08,半导体
489,300609,汇纳科技,32.42,-0.24,1757.0,-1.85,1.23,1159,-3.91,-1.38,2794,2.53,IT服务Ⅱ
246,300671,富满微,71.64,-0.27,1764.0,0.06,-0.84,2139,18.47,-0.02,1836,45.82,半导体
1038,301383,天键股份,24.79,-0.29,1769.0,-4.14,-1.47,2485,-10.05,-0.66,2275,-6.35,消费电子
466,300556,丝路视觉,17.83,-0.34,1779.0,-1.76,-0.32,1881,-7.47,-1.33,2739,-14.73,软件开发
964,300845,捷安高科,14.17,-0.37,1782.0,-3.8,5.33,229,4.58,0.6,1433,-2.48,计算机设备
574,300513,恒实科技,7.03,-0.38,1786.0,-2.23,-0.96,2210,-3.96,-1.47,2845,-5.13,通信服务
1075,301315,威士顿,38.65,-0.45,1800.0,-4.36,0.54,1444,-5.15,-0.06,1864,-1.15,软件开发
1168,300504,天邑股份,16.74,-0.51,1817.0,-5.05,-0.52,1985,-8.72,-1.51,2877,-3.96,通信设备
358,301117,佳缘科技,23.04,-0.51,1806.0,-1.16,-8.25,5058,-10.7,-4.25,4439,-6.83,计算机设备
192,301318,维海德,20.26,-0.52,1818.0,0.85,3.24,544,-8.08,0.92,1281,-2.41,计算机设备
647,300523,辰安科技,18.15,-0.53,1820.0,-2.52,-3.36,3443,-8.61,-2.33,3484,-5.67,IT服务Ⅱ
217,300076,*ST宁视,4.23,-0.7,1885.0,0.48,-5.64,4399,-10.57,-5.42,4861,4.19,光学光电子
98,301178,天亿马,45.81,-0.73,1889.0,3.81,-1.22,2344,3.67,-1.12,2616,20.71,IT服务Ⅱ
1016,300209,行云科技,28.5,-0.75,1887.0,-4.04,2.0,886,-0.63,1.42,1004,5.13,软件开发
115,300455,航天智装,21.52,-0.79,1904.0,2.97,-8.65,5135,-4.53,-3.6,4154,-2.62,计算机设备
273,300303,聚飞光电,10.36,-0.82,1910.0,-0.29,-0.04,1748,7.69,-1.45,2828,14.6,光学光电子
107,301319,唯特偶,209.2,-0.82,1911.0,3.22,0.71,1365,22.83,0.25,1652,58.09,电子化学品Ⅱ
58,300301,ST长方,3.7,-0.86,1917.0,5.71,-0.6,2021,17.09,-2.49,3573,17.83,光学光电子
560,300752,隆利科技,13.21,-0.86,1918.0,-2.15,-5.38,4302,-8.9,-3.21,3959,0.08,光学光电子
284,300050,世纪鼎利,6.19,-0.89,1924.0,-0.48,-2.09,2826,-8.16,-3.72,4194,-0.8,通信服务
651,300735,光弘科技,21.95,-0.95,1941.0,-2.53,1.22,1161,-5.35,4.61,190,17.57,消费电子
699,301380,挖金客,26.56,-1.07,1965.0,-2.67,-1.09,2283,-8.48,-1.05,2571,-8.07,通信服务
108,301678,新恒汇,69.5,-1.14,1979.0,3.15,1.34,1109,8.51,1.43,1003,15.85,半导体
643,300822,贝仕达克,11.67,-1.19,1992.0,-2.51,-2.71,3118,-9.46,-1.32,2732,-8.9,消费电子
153,300555,ST路通,12.5,-1.2,1993.0,1.63,-5.47,4338,-9.16,-1.32,2734,6.75,通信设备
734,300645,正元智慧,11.84,-1.22,2000.0,-2.79,0.74,1348,-6.85,0.35,1587,-9.2,计算机设备
244,300433,蓝思科技,55.76,-1.3,2015.0,0.07,-3.06,3273,-0.02,-0.45,2130,30.65,消费电子
541,301558,三态股份,6.15,-1.35,2032.0,-2.07,0.67,1385,-6.68,0.86,1306,-5.82,互联网电商
1385,301248,杰创智能,77.81,-1.37,2042.0,-10.24,7.18,102,6.11,5.5,102,15.04,IT服务Ⅱ
913,300814,中富电路,199.32,-1.52,2077.0,-3.55,-1.41,2446,4.19,0.34,1593,23.88,元件
591,300032,金龙机电,3.77,-1.6,2098.0,-2.33,-2.13,2846,-7.14,-4.42,4513,-6.22,消费电子
1294,301566,达利凯普,37.71,-1.62,2106.0,-6.52,0.1,1639,-6.38,0.37,1574,16.07,元件
1116,300270,中威电子,10.35,-1.63,2110.0,-4.61,-5.3,4275,-11.16,-5.5,4879,-11.99,计算机设备
446,300843,胜蓝股份,138.63,-1.63,2112.0,-1.67,-1.93,2737,9.33,1.13,1139,54.86,消费电子
915,300808,久量股份,22.18,-1.63,2114.0,-3.57,2.76,660,-2.42,0.17,1703,-7.08,光学光电子
263,300469,信息发展,50.33,-1.65,2122.0,-0.08,-2.82,3165,-2.65,-2.4,3515,-5.82,软件开发
175,301182,凯旺科技,107.92,-1.66,2121.0,1.09,-3.61,3554,6.85,-0.41,2106,21.26,计算机设备
253,301139,*ST元道,4.43,-1.68,2130.0,0.0,0.01,1688,5.98,-1.06,2574,-10.32,通信服务
267,300550,和仁科技,13.31,-1.71,2145.0,-0.22,-0.68,2056,-10.97,-0.93,2476,-6.07,软件开发
1262,300807,天迈科技,38.28,-1.73,2152.0,-6.06,-1.0,2227,-1.8,-4.56,4574,-4.3,计算机设备
938,300659,中孚信息,9.59,-1.78,2163.0,-3.71,-0.37,1914,-6.62,-1.29,2708,-6.8,计算机设备
1198,301202,朗威股份,34.44,-1.87,2186.0,-5.36,1.95,898,-6.92,1.88,803,1.0,通信设备
1180,300701,森霸传感,9.49,-1.89,2191.0,-5.19,0.8,1318,-5.57,0.29,1630,-4.62,光学光电子
1048,301458,钧崴电子,63.97,-1.91,2196.0,-4.21,-1.07,2262,5.6,0.35,1585,28.02,元件
644,301503,智迪科技,27.17,-1.98,2217.0,-2.51,-2.71,3121,-6.12,0.19,1694,-9.1,计算机设备
163,300588,熙菱信息,23.17,-2.03,2232.0,1.4,-0.24,1839,-4.61,7.66,37,27.52,计算机设备
204,300120,经纬辉开,11.09,-2.08,2244.0,0.64,3.33,523,30.32,-0.39,2091,25.03,光学光电子
1173,301031,中熔电气,113.29,-2.09,2250.0,-5.11,-3.75,3629,-12.71,-2.06,3290,0.7,其他电子Ⅱ
1111,300661,圣邦股份,131.96,-2.11,2258.0,-4.57,0.48,1463,-0.61,3.34,394,25.41,半导体
750,300590,移为通信,14.19,-2.12,2261.0,-2.87,0.06,1657,-9.1,-0.55,2192,-1.18,通信设备
908,301180,万祥科技,12.58,-2.16,2277.0,-3.53,-2.73,3130,-9.63,-1.67,2989,-10.08,消费电子
291,300481,濮阳惠成,18.27,-2.21,2288.0,-0.54,-2.75,3138,-1.98,-1.83,3115,7.28,电子化学品Ⅱ
764,300134,大富科技,8.9,-2.4,2349.0,-2.94,-1.57,2539,-11.18,-4.04,4354,-7.87,通信设备
256,300373,扬杰科技,137.4,-2.43,2357.0,-0.04,-3.06,3275,11.59,-0.7,2291,37.14,半导体
1011,301359,东南电子,16.07,-2.47,2370.0,-4.0,-0.41,1940,-10.12,-0.73,2314,-12.81,其他电子Ⅱ
940,300615,欣天科技,10.32,-2.57,2391.0,-3.73,3.01,594,-4.53,1.41,1015,-6.86,通信设备
1089,300327,中颖电子,31.14,-2.59,2399.0,-4.42,-1.75,2639,8.13,-3.04,3856,14.65,半导体
380,300726,宏达电子,90.12,-2.59,2397.0,-1.29,1.86,924,5.51,-1.1,2605,39.94,军工电子Ⅱ
848,300235,方直科技,12.59,-2.59,2394.0,-3.23,-1.47,2481,-8.64,-1.24,2684,-11.09,软件开发
1044,300075,数字政通,10.14,-2.73,2434.0,-4.16,-7.93,4989,-9.87,-8.68,5396,-12.96,软件开发
585,301001,凯淳股份,22.02,-2.75,2442.0,-2.31,-1.17,2324,-7.01,-1.33,2743,-9.08,互联网电商
1344,300563,神宇股份,24.87,-2.81,2459.0,-7.62,-4.43,3930,-14.89,-3.58,4148,-5.94,通信设备
1343,300563,神宇股份,24.88,-2.81,2458.0,-7.58,-4.43,3930,-14.85,-3.58,4147,-5.9,通信设备
741,300077,国民技术,28.21,-2.84,2465.0,-2.82,2.18,828,20.92,1.65,903,25.04,半导体
260,301381,赛维时代,18.35,-2.85,2467.0,-0.05,-3.81,3658,-5.02,-2.54,3599,3.21,互联网电商
1098,301626,苏州天脉,347.05,-2.88,2486.0,-4.47,-0.01,1729,2.95,0.74,1358,16.91,消费电子
248,300054,鼎龙股份,95.49,-2.9,2481.0,0.04,-4.61,3996,3.59,-2.73,3693,26.68,电子化学品Ⅱ
332,300628,亿联网络,33.43,-2.92,2488.0,-0.95,1.72,972,0.69,-0.76,2341,-3.1,通信设备
536,300560,中富通,19.68,-2.93,2527.0,-2.04,2.25,810,4.96,-0.24,1988,14.29,通信服务
1223,300081,ST恒信,3.88,-2.98,2508.0,-5.6,1.41,1082,-1.02,-0.35,2064,-2.27,通信服务
538,301099,雅创电子,92.09,-3.03,2541.0,-2.05,-2.8,3160,-1.32,-1.28,2704,25.17,其他电子Ⅱ
1120,301491,汉桑科技,39.18,-3.23,2283.0,-4.67,-3.3,3294,-11.58,-0.61,2188,-4.11,消费电子
1175,301208,中亦科技,28.9,-3.29,2596.0,-5.12,2.75,661,-3.09,1.63,916,3.25,IT服务Ⅱ
369,300975,商络电子,42.4,-3.4,2629.0,-1.21,-1.38,2430,-2.08,-0.51,2166,9.56,元件
316,300730,科创信息,13.44,-3.44,2637.0,-0.81,1.22,1162,-5.95,0.05,1772,-2.04,软件开发
921,301314,科瑞思,49.17,-3.54,2662.0,-3.61,0.41,1492,-9.81,0.38,1572,-2.15,通信设备
822,301159,三维天地,29.51,-3.64,2686.0,-3.15,-2.88,3199,-8.81,-1.05,2572,-6.05,软件开发
167,301275,汉朔科技,43.28,-3.66,2692.0,1.31,-1.89,2711,-3.39,2.02,750,9.6,其他电子Ⅱ
303,300475,香农芯创,304.2,-3.73,2724.0,-0.67,0.36,1511,19.35,2.05,735,67.0,其他电子Ⅱ
367,301185,鸥玛软件,14.97,-3.89,2767.0,-1.19,-2.71,3120,-9.49,-0.62,2245,-7.42,IT服务Ⅱ
292,300245,ST天玑,5.42,-3.92,2775.0,-0.55,-3.03,3263,-6.71,-1.37,2779,-3.56,IT服务Ⅱ
282,300167,ST迪威迅,4.69,-3.93,2779.0,-0.42,0.31,1533,3.3,-3.76,4224,2.4,IT服务Ⅱ
900,300290,荣科科技,8.38,-3.99,2795.0,-3.46,-7.08,4823,-11.79,-3.86,4266,-8.52,IT服务Ⅱ
933,300579,数字认证,20.83,-4.11,2838.0,-3.7,0.92,1263,-7.95,1.1,1159,-0.14,软件开发
989,301486,致尚科技,222.41,-4.14,2846.0,-3.89,-8.18,5047,-12.94,-3.05,3866,4.43,消费电子
209,300458,全志科技,40.2,-4.18,2855.0,0.58,1.19,1174,12.79,1.57,945,32.24,半导体
694,300956,英力股份,11.33,-4.19,2860.0,-2.66,-1.12,2297,-9.86,-2.34,3489,-7.13,消费电子
997,301396,宏景科技,291.0,-4.35,2894.0,-3.96,-0.85,2146,30.51,3.38,381,75.3,IT服务Ⅱ
1102,300686,智动力,19.08,-4.36,2903.0,-4.5,3.7,453,-1.4,2.24,677,18.66,消费电子
722,300300,海峡创新,7.8,-4.37,2904.0,-2.74,-1.58,2542,-6.81,-4.98,4732,-8.24,IT服务Ⅱ
660,300743,天地数码,15.23,-4.5,2941.0,-2.56,1.29,1137,-4.27,0.73,1362,-5.34,计算机设备
586,300684,中石科技,58.02,-4.5,2938.0,-2.32,-3.35,3432,-3.99,0.32,1606,7.62,电子化学品Ⅱ
772,300597,吉大通信,7.22,-4.52,2942.0,-2.96,1.0,1235,-7.44,2.07,730,-8.72,通信服务
1153,300672,国科微,293.18,-4.54,2949.0,-4.92,-4.6,3993,-11.31,3.13,429,8.91,半导体
1208,301085,亚康股份,59.48,-4.77,3009.0,-5.45,-1.82,2680,-10.08,0.27,1643,-0.5,IT服务Ⅱ
584,301536,星宸科技,124.9,-4.78,3011.0,-2.31,-0.85,2145,10.88,-4.15,4394,45.32,半导体
222,300706,阿石创,78.41,-4.82,3023.0,0.4,-2.21,2879,4.53,-1.35,2756,15.51,半导体
50,300323,华灿光电,19.46,-4.82,3020.0,6.22,0.58,1421,20.64,-0.76,2333,27.52,光学光电子
959,300991,创益通,33.77,-4.88,3039.0,-3.79,-2.81,3161,-12.29,-0.52,2183,-8.61,其他电子Ⅱ
1092,301600,慧翰股份,84.35,-4.88,3041.0,-4.45,1.37,1094,-8.54,-0.2,1961,-5.44,计算机设备
767,300627,华测导航,27.98,-4.88,3037.0,-2.95,-2.39,2959,-4.44,-3.21,3958,-7.2,通信设备
1172,300565,科信技术,10.39,-5.02,3079.0,-5.11,-4.05,3757,-13.42,-3.12,3907,-12.17,通信设备
658,301329,信音电子,24.5,-5.03,3085.0,-2.55,-5.47,4338,-6.52,-4.52,4554,1.16,消费电子
223,301308,江波龙,680.0,-5.04,3086.0,0.4,-1.07,2262,17.69,-0.65,2266,32.09,半导体
1162,300578,会畅科技,16.68,-5.12,3110.0,-5.01,-6.94,4783,-20.19,-2.9,3785,-14.46,通信服务
1358,301205,联特科技,317.69,-5.14,3117.0,-8.05,1.44,1067,-11.95,3.12,433,-5.12,通信设备
769,300462,ST华铭,9.85,-5.14,3125.0,-2.96,-9.7,5292,-11.58,-3.14,3918,-9.05,计算机设备
692,300866,安克创新,106.45,-5.3,3154.0,-2.65,-2.91,3208,-9.1,-0.72,2309,-4.95,消费电子
856,300046,台基股份,33.52,-5.32,3162.0,-3.26,4.38,348,9.11,2.68,539,17.12,半导体
492,300096,ST易联众,9.5,-5.34,3169.0,-1.86,-0.98,2220,-3.06,4.97,146,25.0,IT服务Ⅱ
1305,300872,天阳科技,16.82,-5.37,3176.0,-6.71,-0.35,1900,-14.31,0.73,1359,-4.49,IT服务Ⅱ
672,300296,利亚德,5.59,-5.52,3216.0,-2.61,-12.49,5497,-16.82,-8.6,5390,-14.0,光学光电子
258,300889,爱克股份,23.09,-5.61,3244.0,-0.04,-5.29,4273,-3.51,-4.42,4515,-4.23,光学光电子
1280,301606,绿联科技,58.09,-5.76,3291.0,-6.35,-2.33,2935,-8.91,0.07,1765,-3.79,消费电子
1029,300964,本川智能,78.83,-5.77,3288.0,-4.1,-1.84,2691,-4.16,-1.82,3110,23.29,元件
1093,300131,英唐智控,20.14,-5.8,3304.0,-4.46,2.61,689,6.79,1.86,810,21.84,其他电子Ⅱ
753,300598,诚迈科技,28.22,-5.96,3354.0,-2.89,-5.91,4485,-7.96,-5.61,4915,-8.61,软件开发
956,300830,金现代,7.9,-6.16,3410.0,-3.78,-5.71,4426,-10.73,-2.58,3615,-8.03,软件开发
1148,301379,天山电子,24.83,-6.19,3398.0,-4.87,-1.93,2728,-2.24,-0.98,2516,3.11,光学光电子
1017,300679,电连技术,64.15,-6.19,3418.0,-4.05,-3.36,3439,-11.14,-2.06,3288,18.05,消费电子
187,300576,容大感光,51.57,-6.2,3421.0,0.9,-2.54,3033,3.62,-3.29,3998,14.09,电子化学品Ⅱ
1025,300292,吴通控股,5.86,-6.21,3425.0,-4.09,-4.72,4051,-8.58,-2.96,3821,2.81,通信服务
1087,300925,法本信息,14.75,-6.24,3434.0,-4.41,-11.22,5424,-16.38,-8.54,5385,-21.04,软件开发
679,300552,万集科技,22.97,-6.3,3450.0,-2.63,-4.35,3890,-13.48,-3.86,4271,-14.13,计算机设备
471,300784,利安科技,43.89,-6.33,3459.0,-1.79,-1.5,2501,-7.41,3.21,419,2.81,消费电子
1192,300916,朗特智能,23.1,-6.38,3473.0,-5.33,1.59,1006,-8.0,1.48,982,-0.09,消费电子
526,301428,世纪恒通,36.63,-6.4,3479.0,-2.01,-0.04,1754,-3.22,1.67,895,-1.8,通信服务
1214,300085,银之杰,36.5,-6.5,3504.0,-5.49,4.29,356,35.39,3.33,395,47.77,软件开发
993,300287,飞利信,3.19,-6.64,3540.0,-3.92,-3.57,3533,-9.63,-4.44,4524,-8.6,IT服务Ⅱ
