序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,中芯国际概念,4250.1,1.78,1283.86,1301.77,-17.91,89,正帆科技,20.0,56.22
2,光刻机,3381.5,1.57,381.9,409.56,-27.65,49,富创精密,17.55,269.19
3,硅能源,1239.49,1.13,307.85,325.34,-17.49,63,有研硅,20.0,30.9
4,猪肉,2058.13,1.05,32.16,27.64,4.52,32,神农集团,10.02,27.23
5,光刻胶,6141.21,0.66,381.38,382.67,-1.29,77,佳先股份,11.2,18.97
6,电子纸,1457.14,0.56,264.48,211.71,52.77,26,惠科股份,329.45,43.46
7,养鸡,1042.28,0.54,13.3,12.52,0.77,22,天马科技,4.61,12.48
8,MicroLED概念,2165.45,0.47,691.75,725.7,-33.95,79,雷曼光电,19.98,12.13
9,有机硅概念,2299.43,0.46,140.62,156.21,-15.59,51,润禾材料,10.42,38.8
10,OLED,3795.63,0.43,1498.29,1498.56,-0.27,154,惠科股份,329.45,43.46
11,国家大基金持股,3779.86,0.28,1118.19,1152.01,-33.82,49,艾森股份,8.81,95.97
12,先进封装,3449.84,0.21,2204.94,2375.82,-170.88,191,雷曼光电,19.98,12.13
13,存储芯片,3397.45,0.19,2773.32,2964.04,-190.72,198,有研硅,20.0,30.9
14,大豆,1452.78,-0.03,11.57,13.66,-2.1,15,新安股份,4.67,17.95
15,HJT电池,3317.79,-0.17,268.31,305.02,-36.71,67,TCL中环,10.03,11.19
16,TOPCON电池,1224.35,-0.18,356.71,396.44,-39.73,82,TCL中环,10.03,11.19
17,MiniLED,3304.88,-0.26,991.55,1043.25,-51.7,105,惠科股份,329.45,43.46
18,生态农业,1459.29,-0.3,28.21,31.53,-3.32,60,莱赛激光,19.89,12.96
19,BC电池,1396.61,-0.32,222.01,229.72,-7.71,52,TCL中环,10.03,11.19
20,钙钛矿电池,1283.05,-0.35,557.39,632.39,-75.0,91,大胜达,10.0,18.81
21,丙烯酸,1913.36,-0.35,40.21,53.68,-13.47,20,阿科力,10.0,39.6
22,ST板块,461.095,-0.36,55.94,51.65,4.28,216,*ST开元,19.76,3.01
23,第三代半导体,3188.08,-0.53,1470.09,1616.68,-146.59,176,正帆科技,20.0,56.22
24,租售同权,719.014,-0.53,28.79,27.54,1.26,29,合肥城建,7.57,16.76
25,光热发电,991.528,-0.6,41.06,45.25,-4.2,48,新风光,10.89,91.23
26,柔性屏(折叠屏),3935.34,-0.65,733.34,734.56,-1.22,107,雷曼光电,19.98,12.13
27,可燃冰,1429.27,-0.66,13.5,15.09,-1.59,14,海默科技,12.04,12.48
28,摘帽,943.772,-0.76,62.91,69.74,-6.83,67,川大智胜,10.02,10.87
29,MR(混合现实),1890.63,-0.82,335.8,414.35,-78.55,70,佳创视讯,20.02,9.77
30,草甘膦,1388.45,-0.84,36.71,39.35,-2.64,19,新安股份,4.67,17.95
31,转基因,1534.05,-0.87,11.1,12.4,-1.3,20,新安股份,4.67,17.95
32,军民融合,1582.98,-0.88,436.22,444.69,-8.47,245,莱赛激光,19.89,12.96
33,成飞概念,1864.89,-0.89,61.08,61.69,-0.61,43,川大智胜,10.02,10.87
34,农村电商,1544.36,-0.94,18.06,19.79,-1.73,37,ST司特,4.44,6.11
35,民爆概念,1614.62,-0.94,19.41,23.11,-3.7,25,国泰集团,9.98,15.43
36,玉米,2069.71,-1.0,15.14,17.73,-2.6,32,新安股份,4.67,17.95
37,中韩自贸区,2204.91,-1.08,42.74,38.54,4.2,17,江丰电子,7.58,355.0
38,广东自贸区,1253.06,-1.09,31.57,31.16,0.41,27,贤丰控股,9.92,5.76
39,芯片概念,5714.62,-1.12,6377.06,7068.63,-691.57,897,惠科股份,329.45,43.46
40,POE胶膜,873.048,-1.13,41.64,50.08,-8.43,29,激智科技,4.94,32.06
41,商业航天,2380.82,-1.15,1984.3,2279.48,-295.18,497,蜀道装备,19.98,30.5
42,预制菜,911.967,-1.15,41.72,47.93,-6.21,101,神农集团,10.02,27.23
43,光伏概念,4705.63,-1.17,2433.4,2670.31,-236.91,597,信德新材,20.0,75.6
44,足球概念,1423.39,-1.2,33.38,39.16,-5.77,39,雷曼光电,19.98,12.13
45,军工信息化,1661.17,-1.2,151.52,135.03,16.5,111,上海瀚讯,12.81,45.65
46,粮食概念,726.864,-1.24,21.57,24.93,-3.36,46,*ST瑞茂,4.63,1.13
47,空间计算,1284.79,-1.28,69.89,75.89,-6.0,63,佳创视讯,20.02,9.77
48,页岩气,2557.87,-1.29,62.21,73.96,-11.75,52,海默科技,12.04,12.48
49,元宇宙,1787.48,-1.3,372.5,429.94,-57.44,181,佳创视讯,20.02,9.77
50,超级品牌,1352.15,-1.31,159.88,185.38,-25.5,48,百润股份,10.0,15.73
51,超级品牌,1352.39,-1.29,159.48,184.81,-25.33,48,百润股份,10.0,15.73
52,供销社,993.953,-1.3,6.4,7.29,-0.89,15,万润股份,2.25,19.51
53,光伏建筑一体化,1499.43,-1.3,317.62,333.75,-16.14,133,太极实业,8.34,27.42
54,碳纤维,2135.66,-1.3,161.42,176.42,-15.0,80,信德新材,20.0,75.6
55,高股息精选,1381.64,-1.31,291.21,370.63,-79.42,285,陕鼓动力,9.96,9.05
56,兵装重组概念,1038.83,-1.32,3.8,4.05,-0.25,14,东安动力,3.98,10.18
57,PM2.5,1794.1,-1.32,40.21,39.88,0.32,36,四方光电,9.13,64.09
58,建筑节能,1335.33,-1.33,66.99,83.73,-16.74,95,金房能源,10.02,23.83
59,俄乌冲突概念,1396.01,-1.36,142.65,173.03,-30.38,74,海默科技,12.04,12.48
60,C2M概念,1867.88,-1.38,27.28,28.71,-1.43,39,斯莱克,10.71,21.09
61,新疆振兴,924.774,-1.4,144.03,161.09,-17.06,156,卓郎智能,10.08,7.1
62,黑龙江自贸区,1580.55,-1.42,25.36,25.38,-0.03,36,广联航空,9.67,36.42
63,上海自贸区,4212.38,-1.42,203.46,224.06,-20.6,58,彤程新材,10.0,85.83
64,高铁,3631.94,-1.42,237.36,287.3,-49.93,180,江顺科技,10.0,115.37
65,天然气,1559.09,-1.43,179.59,205.34,-25.74,164,蜀道装备,19.98,30.5
66,装配式建筑,894.484,-1.43,42.12,50.68,-8.57,107,柏诚股份,10.0,38.28
67,乳业,1712.99,-1.44,12.32,14.17,-1.85,35,庄园牧场,10.04,12.27
68,太赫兹,2253.81,-1.45,172.73,235.09,-62.36,22,创远信科,11.24,24.35
69,化肥,934.422,-1.45,103.45,139.67,-36.22,74,凯龙股份,6.87,7.62
70,空气能热泵,1458.67,-1.45,81.58,91.36,-9.79,54,海立股份,7.58,15.18
71,冰雪产业,1228.84,-1.45,36.02,41.79,-5.77,59,*ST新元,3.66,7.64
72,净水概念,1085.21,-1.46,67.59,72.71,-5.12,77,威派格,10.0,5.83
73,赛马概念,1005.76,-1.46,1.3,1.83,-0.53,4,*ST正平,0.8,8.8
74,国产航母,1989.87,-1.48,107.66,115.61,-7.95,36,中国卫星,10.0,77.77
75,可降解塑料,1507.58,-1.49,80.31,100.39,-20.08,164,佳先股份,11.2,18.97
76,卫星导航,4896.15,-1.49,997.08,1081.34,-84.26,278,莱赛激光,19.89,12.96
77,PPP概念,850.619,-1.5,131.0,149.92,-18.92,199,中持股份,10.03,12.84
78,生物质能发电,1022.54,-1.5,41.12,48.55,-7.43,62,世茂能源,3.2,20.95
79,央企国企改革,3019.37,-1.51,1110.45,1266.17,-155.73,788,电科蓝天,11.53,70.93
80,云游戏,1513.93,-1.53,77.89,85.75,-7.86,27,佳创视讯,20.02,9.77
81,在线教育,2648.99,-1.54,132.5,159.43,-26.93,127,佳创视讯,20.02,9.77
82,虚拟现实,1039.57,-1.54,1137.37,1286.69,-149.32,287,佳创视讯,20.02,9.77
83,大飞机,3846.08,-1.55,327.68,362.77,-35.09,153,航天动力,10.01,26.27
84,新型城镇化,1194.64,-1.56,121.85,146.07,-24.21,220,莱赛激光,19.89,12.96
85,横琴新区,1823.64,-1.57,48.64,60.31,-11.66,42,贤丰控股,9.92,5.76
86,农机,1220.66,-1.57,107.15,137.24,-30.08,97,莱赛激光,19.89,12.96
87,代糖概念,891.858,-1.57,33.89,40.3,-6.4,23,鲁信创投,5.63,19.88
88,毛发医疗,980.073,-1.57,8.63,12.6,-3.96,26,百诚医药,12.54,59.77
89,同花顺中特估100,1098.83,-1.58,507.41,614.58,-107.17,100,中国卫通,5.97,29.65
90,军工,2460.33,-1.59,1461.68,1696.18,-234.5,604,莱赛激光,19.89,12.96
91,露营经济,1537.29,-1.6,22.44,24.57,-2.14,55,探路者,3.16,23.49
92,统一大市场,1207.19,-1.6,55.33,64.49,-9.15,119,宏川智慧,10.04,9.43
93,染料,1556.77,-1.6,41.15,50.66,-9.52,40,润禾材料,10.42,38.8
94,体育产业,942.039,-1.61,91.56,97.24,-5.68,133,雷曼光电,19.98,12.13
95,农业种植,2106.6,-1.61,31.01,39.58,-8.57,92,新安股份,4.67,17.95
96,海工装备,3681.6,-1.61,715.63,887.15,-171.51,273,顶固集创,15.95,27.93
97,特色小镇,456.267,-1.62,22.9,30.15,-7.25,40,ST华谊,4.64,1.58
98,绿色电力,1133.18,-1.63,881.3,1032.98,-151.68,423,有研硅,20.0,30.9
99,氢能源,2685.21,-1.64,899.68,1054.77,-155.09,400,正帆科技,20.0,56.22
100,国企改革,1344.71,-1.65,2779.19,3209.96,-430.77,2926,蜀道装备,19.98,30.5
101,高端装备,3395.24,-1.69,841.05,1001.19,-160.14,372,正帆科技,20.0,56.22
102,国企改革,1344.12,-1.69,2779.19,3209.96,-430.77,2926,蜀道装备,19.98,30.5
103,地下管网,1207.65,-1.69,39.37,47.97,-8.6,112,威派格,10.0,5.83
104,手机游戏,2544.19,-1.69,82.51,100.5,-17.98,58,天娱数科,9.96,8.83
105,食品安全,4408.19,-1.69,72.81,85.63,-12.83,83,新莱应材,15.26,93.51
106,环氧丙烷,1631.81,-1.71,61.08,73.5,-12.41,26,永和股份,6.51,41.41
107,职业教育,1470.96,-1.72,96.29,105.25,-8.96,133,*ST开元,19.76,3.01
108,特色小镇,455.771,-1.73,23.23,30.34,-7.11,40,ST华谊,4.64,1.58
109,雄安新区,1081.8,-1.74,217.62,264.37,-46.74,195,中持股份,10.03,12.84
110,股权转让(并购重组),1078.79,-1.74,763.87,880.77,-116.9,912,佳创视讯,20.02,9.77
111,无人机,3169.25,-1.75,1103.76,1206.25,-102.49,460,莱赛激光,19.89,12.96
112,同花顺漂亮100,810.95,-1.75,1167.26,1475.28,-308.02,100,TCL中环,10.03,11.19
113,AI眼镜,3008.41,-1.76,1355.57,1506.75,-151.18,189,深科达,11.5,87.95
114,自由贸易港,879.046,-1.76,32.19,35.55,-3.36,45,康强电子,10.02,37.02
115,上海国企改革,1644.88,-1.78,56.3,64.45,-8.15,108,海立股份,7.58,15.18
116,沪股通,2380.39,-1.78,4966.4,5720.5,-754.1,1636,有研硅,20.0,30.9
117,可控核聚变,2513.98,-1.79,441.78,564.08,-122.3,113,新风光,10.89,91.23
118,旅游概念,2483.85,-1.79,106.81,134.18,-27.37,150,盈新发展,9.97,3.42
119,传感器,1734.68,-1.79,1080.18,1159.59,-79.41,268,莱赛激光,19.89,12.96
120,碳交易,974.485,-1.79,183.78,207.94,-24.16,117,龙源电力,10.02,17.57
121,水利,2321.04,-1.79,376.26,473.4,-97.15,264,航天动力,10.01,26.27
122,乡村振兴,1034.77,-1.8,498.3,642.97,-144.67,433,庄园牧场,10.04,12.27
123,长三角一体化,1959.32,-1.8,514.43,632.93,-118.5,258,百润股份,10.0,15.73
124,土地流转,1691.08,-1.8,16.47,19.71,-3.24,42,大禹节水,2.58,3.97
125,物业管理,1057.4,-1.81,113.0,122.53,-9.53,181,合肥城建,7.57,16.76
126,家用电器,4027.57,-1.82,401.25,453.67,-52.41,180,顶固集创,15.95,27.93
127,中字头股票,1708.47,-1.82,426.86,502.82,-75.97,134,中国卫星,10.0,77.77
128,同花顺果指数,2741.61,-1.83,646.98,747.55,-100.57,20,珠海冠宇,7.9,21.04
129,证金持股,1063.91,-1.83,751.54,1029.43,-277.89,189,超声电子,10.01,28.46
130,核电,4131.55,-1.84,709.47,850.6,-141.12,346,戈碧迦,14.34,164.65
131,智能家居,3685.9,-1.84,534.47,624.86,-90.39,288,雷曼光电,19.98,12.13
132,一带一路,2296.34,-1.85,1385.5,1666.78,-281.29,783,蜀道装备,19.98,30.5
133,航空发动机,3427.49,-1.85,212.23,236.47,-24.24,97,斯瑞新材,9.97,44.34
134,专精特新,1720.02,-1.86,2295.63,2464.26,-168.63,1203,佳创视讯,20.02,9.77
135,污水处理,1713.53,-1.86,223.18,258.15,-34.97,228,路德科技,15.13,29.9
136,网红经济,1285.44,-1.87,55.88,69.06,-13.18,118,庄园牧场,10.04,12.27
137,电子竞技,457.864,-1.88,57.75,69.78,-12.03,35,天娱数科,9.96,8.83
138,安防,4817.5,-1.88,366.81,411.15,-44.34,175,雷曼光电,19.98,12.13
139,消毒剂,1993.24,-1.89,96.88,107.11,-10.23,60,泰和科技,6.64,30.2
140,房屋检测,1521.89,-1.9,16.13,21.09,-4.96,46,国投中鲁,10.02,29.0
141,钒电池,1417.29,-1.91,64.74,75.21,-10.48,38,信德新材,20.0,75.6
142,MCU芯片,1984.23,-1.92,638.28,688.88,-50.6,93,奔图科技,9.98,14.55
143,参股银行,1375.97,-1.92,262.35,316.59,-54.24,768,盈新发展,9.97,3.42
144,培育钻石,2953.37,-1.92,82.32,93.11,-10.8,19,沃尔德,11.1,142.39
145,风电,1316.1,-1.93,1024.52,1282.33,-257.81,434,新风光,10.89,91.23
146,消费电子概念,3636.52,-1.93,2406.61,2654.79,-248.17,493,惠科股份,329.45,43.46
147,跨境电商,886.544,-1.93,267.67,312.59,-44.92,337,华凯易佰,14.21,17.12
148,小米概念,2233.18,-1.93,1870.43,2072.39,-201.96,371,惠科股份,329.45,43.46
149,西部大开发,1731.19,-1.95,1089.2,1314.33,-225.13,633,蜀道装备,19.98,30.5
150,华为手机,1911.35,-1.95,244.74,285.04,-40.3,45,国际复材,9.09,52.23
151,冷链物流,1634.5,-2.07,116.63,140.38,-23.75,153,海立股份,7.44,15.16
152,西部大开发,1728.92,-2.07,1094.14,1321.26,-227.12,633,蜀道装备,19.98,30.5
153,跨境电商,885.262,-2.07,268.25,313.69,-45.44,337,华凯易佰,14.01,17.09
154,超超临界发电,1563.75,-2.08,110.45,141.54,-31.09,87,双良节能,10.0,4.84
155,华为手机,1908.78,-2.08,246.02,286.53,-40.51,45,国际复材,8.96,52.17
156,网络游戏,1479.07,-2.09,116.32,143.16,-26.84,66,天娱数科,9.96,8.83
157,飞行汽车(eVTOL),1857.43,-2.09,219.0,264.91,-45.91,272,祥鑫科技,10.01,51.88
158,深圳国企改革,1681.3,-2.1,42.06,42.75,-0.69,58,麦捷科技,3.76,31.21
159,数字孪生,1851.34,-2.1,332.65,397.27,-64.62,205,软通动力,11.97,41.64
160,京津冀一体化,1845.93,-2.1,405.84,426.26,-20.42,290,软通动力,11.97,41.64
